category_id,category_name
1,Cars
2,Motorbikes
3,Boats & marine
4,Car parts & accessories
5,Aircraft
6,Buses
7,Car stereos
8,Caravans & motorhomes
9,Horse floats
10,Specialist cars
11,Trailers
12,Trucks
13,Wrecked cars
